	Area	Mean	Min	Max	X	Y
1	0	154	154	154	4388	1376
2	0	168	168	168	4385	1405
3	0	166	166	166	4210	1374
4	0	164	164	164	4150	1389
5	0	149	149	149	4082	1392
6	0	146	146	146	3978	1367
7	0	167	167	167	3881	1388
8	0	177	177	177	3868	1458
9	0	177	177	177	3955	1487
10	0	147	147	147	4062	1445
11	0	138	138	138	4162	1478
12	0	170	170	170	4187	1427
13	0	149	149	149	4449	1470
14	0	165	165	165	4497	1462
15	0	159	159	159	4597	1466
16	0	159	159	159	4701	1448
17	0	165	165	165	4880	1481
18	0	188	188	188	4902	1424
19	0	200	200	200	5001	1484
20	0	173	173	173	5094	1494
21	0	190	190	190	5109	1425
22	0	202	202	202	5179	1411
23	0	190	190	190	5276	1430
24	0	167	167	167	5329	1503
25	0	139	139	139	5260	1494
26	0	201	201	201	5182	1533
27	0	146	146	146	5096	1526
28	0	167	167	167	4986	1544
29	0	147	147	147	4882	1558
30	0	163	163	163	4817	1559
31	0	145	145	145	4687	1560
32	0	157	157	157	4559	1591
33	0	184	184	184	4355	1608
34	0	161	161	161	4139	1598
35	0	151	151	151	4089	1592
36	0	182	182	182	3978	1603
37	0	144	144	144	3865	1579
38	0	150	150	150	3749	1590
39	0	156	156	156	3879	1726
40	0	161	161	161	4068	1733
41	0	160	160	160	4270	1720
42	0	140	140	140	4361	1729
43	0	163	163	163	4415	1689
44	0	134	134	134	4559	1705
45	0	176	176	176	4695	1728
46	0	156	156	156	4778	1692
47	0	149	149	149	4871	1710
48	0	189	189	189	4959	1678
49	0	167	167	167	5289	1650
50	0	186	186	186	5082	1811 	
