	Area	Mean	Min	Max	X	Y
1	0	75	75	75	4762	1174
2	0	89	89	89	5205	1306
3	0	75	75	75	4581	1305
4	0	75	75	75	4361	1218
5	0	84	84	84	3882	1340
6	0	75	75	75	3867	1493
7	0	72	72	72	3974	1399
8	0	72	72	72	4071	1420
9	0	84	84	84	4491	1497
10	0	79	79	79	4599	1488
11	0	75	75	75	4809	1423
12	0	72	72	72	5081	1402
13	0	72	72	72	5273	1410
14	0	75	75	75	4980	1571
15	0	72	72	72	4990	1624
16	0	75	75	75	4577	1594
17	0	72	72	72	4190	1608
18	0	75	75	75	3878	1597
19	0	75	75	75	3883	1763
20	0	72	72	72	3998	1770
21	0	80	80	80	4092	1749
22	0	75	75	75	4359	1685
23	0	80	80	80	4576	1685
24	0	84	84	84	4591	1744
25	0	72	72	72	4705	1768
26	0	75	75	75	4815	1764
27	0	72	72	72	4866	1753
28	0	72	72	72	5186	1770
29	0	80	80	80	5206	1880
30	0	72	72	72	4978	1880
31	0	75	75	75	4397	1883
32	0	89	89	89	3866	2071
33	0	80	80	80	4197	2079
34	0	72	72	72	4305	2033
35	0	72	72	72	4393	2052
36	0	72	72	72	4563	2077
37	0	72	72	72	4598	2035
38	0	75	75	75	4812	2054
39	0	79	79	79	4915	2065
40	0	72	72	72	5109	1996
41	0	75	75	75	5203	2018
42	0	72	72	72	3899	2144
43	0	72	72	72	3991	2202
44	0	79	79	79	4296	2219
45	0	88	88	88	4500	2191
46	0	75	75	75	5012	2161
47	0	72	72	72	5114	2205
48	0	72	72	72	5181	1376
49	0	75	75	75	4187	1606
50	0	72	72	72	4797	1826
