	Area	Mean	Min	Max	X	Y
1	0	87	87	87	5048	1230
2	0	98	98	98	4858	1335
3	0	91	91	91	4825	1272
4	0	98	98	98	4546	1308
5	0	98	98	98	4443	1253
6	0	94	94	94	4249	1296
7	0	101	101	101	4021	1270
8	0	97	97	97	3826	1374
9	0	98	98	98	3923	1428
10	0	84	84	84	4021	1362
11	0	81	81	81	4216	1426
12	0	97	97	97	4526	1394
13	0	97	97	97	4643	1394
14	0	81	81	81	4728	1392
15	0	77	77	77	4856	1354
16	0	91	91	91	5133	1403
17	0	81	81	81	5129	1639
18	0	84	84	84	4950	1537
19	0	97	97	97	4748	1542
20	0	84	84	84	4649	1529
21	0	97	97	97	4533	1581
22	0	81	81	81	4421	1573
23	0	84	84	84	3928	1646
24	0	97	97	97	3933	1704
25	0	97	97	97	4118	1677
26	0	84	84	84	4217	1694
27	0	104	104	104	4429	1738
28	0	94	94	94	4933	1669
29	0	101	101	101	5132	1660
30	0	94	94	94	5227	1673
31	0	91	91	91	5247	1817
32	0	94	94	94	5132	1799
33	0	97	97	97	4949	1808
34	0	97	97	97	4230	1863
35	0	97	97	97	3731	1926
36	0	94	94	94	3771	2025
37	0	97	97	97	3801	2079
38	0	107	107	107	4016	2008
39	0	97	97	97	4128	2000
40	0	97	97	97	4430	2008
41	0	104	104	104	4688	2002
42	0	104	104	104	5061	1970
43	0	90	90	90	5148	2088
44	0	97	97	97	5244	2098
45	0	91	91	91	4143	2106
46	0	94	94	94	3947	2148
47	0	72	72	72	3827	2183
48	0	87	87	87	4235	2208
49	0	101	101	101	5145	2242
50	0	91	91	91	5276	2217
