	Area	Mean	Min	Max	X	Y
1	0	72	72	72	5054	1259
2	0	77	77	77	5135	1321
3	0	77	77	77	5242	1314
4	0	72	72	72	4782	1258
5	0	72	72	72	4731	1330
6	0	82	82	82	4757	1370
7	0	75	75	75	4543	1328
8	0	72	72	72	4399	1333
9	0	75	75	75	4343	1291
10	0	82	82	82	4014	1331
11	0	75	75	75	3915	1336
12	0	82	82	82	3808	1336
13	0	79	79	79	3922	1483
14	0	75	75	75	4012	1425
15	0	77	77	77	4208	1476
16	0	72	72	72	4318	1456
17	0	75	75	75	4566	1441
18	0	77	77	77	4741	1448
19	0	72	72	72	4832	1413
20	0	79	79	79	4931	1402
21	0	76	76	76	5041	1468
22	0	75	75	75	5256	1563
23	0	75	75	75	5128	1613
24	0	76	76	76	5060	1582
25	0	79	79	79	4748	1582
26	0	72	72	72	4644	1581
27	0	72	72	72	4428	1590
28	0	79	79	79	4234	1635
29	0	88	88	88	3930	1629
30	0	82	82	82	3927	1779
31	0	76	76	76	4127	1791
32	0	76	76	76	4434	1779
33	0	79	79	79	4940	1765
34	0	72	72	72	5140	1764
35	0	76	76	76	5241	1769
36	0	82	82	82	5246	1855
37	0	72	72	72	5147	1869
38	0	76	76	76	3920	2033
39	0	76	76	76	4123	2077
40	0	76	76	76	4249	2032
41	0	79	79	79	4429	2076
42	0	77	77	77	4660	2037
43	0	75	75	75	5044	2044
44	0	85	85	85	5175	1963
45	0	83	83	83	5151	2148
46	0	79	79	79	5250	2197
47	0	85	85	85	4232	2136
48	0	76	76	76	4151	2252
49	0	88	88	88	3908	2183
50	0	74	74	74	3772	1956
